The man is holding a saxophone.,The man is holding an instrument.,strict_entailment
The man is wearing a yellow shirt and playing a piano.,The man is wearing a yellow shirt and playing an instrument.,strict_entailment
The bubbles carry small animals to the moon.,The bubbles carry little animals to the moon.,Paraphrasing
A small dog is sleeping on the couch.,A tiny dog is sleeping on the couch.,Paraphrasing
A small dog is sleeping on the couch.,A small dog is sleeping on the sofa.,Paraphrasing
A small dog is sleeping on the couch.,A little dog is sleeping on the couch.,Paraphrasing
The little girl is spending time with her dad.,The little girl is spending time with her father.,Paraphrasing
The little girl is spending time with her dad.,The small girl is spending time with her dad.,Paraphrasing
The little girl is spending time with her dad.,The tiny girl is spending time with her dad.,Paraphrasing
"A person in a yellow hat, carrying a bag and a fishing pole, walks in a grassy area near a small body of water.","A person in a yellow hat, carrying a bag and a fishing pole, walks in a grassy area near a little body of water.",Paraphrasing
"A person in a yellow hat, carrying a bag and a fishing pole, walks in a grassy area near a small body of water.","A person in a yellow hat, carrying a bag and a fishing pole, walks in a grassy area near a tiny body of water.",Paraphrasing
"A person in a yellow hat, carrying a bag and a fishing pole, walks in a grassy area near a small body of water.","A person in a yellow hat, carrying a bag and a fishing pole, walks in a grassy area close to a small body of water.",Paraphrasing
Group of three people stand outside a building holding an over sized ukulele and an accordion.,Group of three people stand outside a building holding an over sized ukulele and an instrument.,strict_entailment
A little girl is laughing as her mom holds her up to a pole at the playground.,A tiny girl is laughing as her mom holds her up to a pole at the playground.,Paraphrasing
A little girl is laughing as her mom holds her up to a pole at the playground.,A small girl is laughing as her mom holds her up to a pole at the playground.,Paraphrasing
A little girl is laughing as her mom holds her up to a pole at the playground.,A little girl is laughing as her mother holds her up to a pole at the playground.,Paraphrasing
A male plays a banjo while sitting on a sofa.,A male plays an instrument while sitting on a sofa.,strict_entailment
A man holds a cello.,A man holds an instrument.,strict_entailment
A little girl holds onto a pole on a city street.,A little girl holds onto a pole on a city road.,Paraphrasing
A little girl holds onto a pole on a city street.,A small girl holds onto a pole on a city street.,Paraphrasing
A little girl holds onto a pole on a city street.,A tiny girl holds onto a pole on a city street.,Paraphrasing
"A man looked very small, as he walked along the ancient building.","A man looked very small, as he walked along the old building.",Paraphrasing
"A man looked very small, as he walked along the ancient building.","A man looked very tiny, as he walked along the ancient building.",Paraphrasing
"A man looked very small, as he walked along the ancient building.","A man looked very little, as he walked along the ancient building.",Paraphrasing
A man in orange gives his son a piggyback ride down the street in the daytime.,A man in orange gives his son a piggyback ride down the road in the daytime.,Paraphrasing
A man in orange gives his son a piggyback ride down the street in the daytime.,A man in orange gives his son a piggyback ride up the street in the daytime.,Paraphrasing
"A woman wearing a patterned dress in an outdoor market sits surrounded by her offerings of onions, eggs, tomatoes, beans, and many other things.","A woman wearing a patterned dress in an outdoor market sits surrounded by her offerings of onions, eggs, tomatoes, beans, and many familiar things.",Paraphrasing
A trumpet player is wearing a black jacket and cap.,An instrument player is wearing a black jacket and cap.,strict_entailment
A little girl is very sad.,A small girl is very sad.,Paraphrasing
A little girl is very sad.,A little girl is very miserable.,Paraphrasing
A little girl is very sad.,A little girl is very unhappy.,Paraphrasing
A little girl is very sad.,A tiny girl is very sad.,Paraphrasing
A little girl in a green shirt and pink shorts is running up a grassy hill near a pavilion.,A tiny girl in a green shirt and pink shorts is running up a grassy hill near a pavilion.,Paraphrasing
A little girl in a green shirt and pink shorts is running up a grassy hill near a pavilion.,A little girl in a green shirt and pink shorts is running up a grassy hill close to a pavilion.,Paraphrasing
A little girl in a green shirt and pink shorts is running up a grassy hill near a pavilion.,A small girl in a green shirt and pink shorts is running up a grassy hill near a pavilion.,Paraphrasing
A small group of people standing while two sit on the couch.,A small group of people running while two sit on the couch.,Paraphrasing
A small group of people standing while two sit on the couch.,A little group of people standing while two sit on the couch.,Paraphrasing
A small group of people standing while two sit on the couch.,A tiny group of people standing while two sit on the couch.,Paraphrasing
A small group of people standing while two sit on the couch.,A small group of people standing while two sit on the sofa.,Paraphrasing
The boy is very happy.,The boy is very delighted.,Paraphrasing
The boy is very happy.,The boy is very pleased.,Paraphrasing
The boy is very happy.,The boy is very joyful.,Paraphrasing
The boy is very happy.,The boy is very glad.,Paraphrasing
Sitting down are two people who are very happy.,Sitting down are two people who are very pleased.,Paraphrasing
Sitting down are two people who are very happy.,Sitting down are two people who are very delighted.,Paraphrasing
Sitting down are two people who are very happy.,Sitting down are two people who are very joyful.,Paraphrasing
Sitting down are two people who are very happy.,Sitting down are two people who are very glad.,Paraphrasing
A tiny little girl wearing pink stands by a man who is wearing brown and sitting down.,A small little girl wearing pink stands by a man who is wearing brown and sitting down.,Paraphrasing
"A main street scene of a small town with an overhead welcome sign that says ""Welcome to Golden"".","A main road scene of a small town with an overhead welcome sign that says ""Welcome to Golden"".",Paraphrasing
"A main street scene of a small town with an overhead welcome sign that says ""Welcome to Golden"".","A main street scene of a tiny town with an overhead welcome sign that says ""Welcome to Golden"".",Paraphrasing
"A main street scene of a small town with an overhead welcome sign that says ""Welcome to Golden"".","A main street scene of a little town with an overhead welcome sign that says ""Welcome to Golden"".",Paraphrasing
The children are very happy.,The children are very glad.,Paraphrasing
The children are very happy.,The children are very joyful.,Paraphrasing
The children are very happy.,The children are very delighted.,Paraphrasing
The children are very happy.,The children are very pleased.,Paraphrasing
A police office is close to two vehicles.,A police office is close to 2 vehicles.,Paraphrasing
"Three children playing on swings in a small park, one little girl wearing pink has her stomach on the swing, a little boy wearing navy track pants and a yellow shirt is half on and half off the swing, and the last little boy is standing in front of the boy on the swing.","Three children playing on swings in a small park, one tiny girl wearing pink has her stomach on the swing, a tiny boy wearing navy track pants and a yellow shirt is half on and half off the swing, and the last tiny boy is standing in front of the boy on the swing.",Paraphrasing
"Three children playing on swings in a small park, one little girl wearing pink has her stomach on the swing, a little boy wearing navy track pants and a yellow shirt is half on and half off the swing, and the last little boy is standing in front of the boy on the swing.","Three children playing on swings in a little park, one little girl wearing pink has her stomach on the swing, a little boy wearing navy track pants and a yellow shirt is half on and half off the swing, and the last little boy is standing in front of the boy on the swing.",Paraphrasing
"Three children playing on swings in a small park, one little girl wearing pink has her stomach on the swing, a little boy wearing navy track pants and a yellow shirt is half on and half off the swing, and the last little boy is standing in front of the boy on the swing.","Three children playing on swings in a small park, one small girl wearing pink has her stomach on the swing, a small boy wearing navy track pants and a yellow shirt is half on and half off the swing, and the last small boy is standing in front of the boy on the swing.",Paraphrasing
